t,trust,state,hpl_op,hpl_dalc,est_x,est_y,est_z,gt_x,gt_y,gt_z,herr
20.948000,1.0000,NOMINAL,0.0774,0.2131,-0.0001,-0.0634,0.2191,0.0626,0.0000,0.2718,nan
20.952000,1.0000,NOMINAL,0.0774,0.2131,-0.0001,-0.0652,0.2215,0.0626,0.0000,0.2718,nan
20.956000,1.0000,NOMINAL,0.0774,0.2131,-0.0001,-0.0670,0.2239,0.0626,0.0000,0.2718,nan
20.960000,1.0000,NOMINAL,0.0774,0.2131,-0.0001,-0.0689,0.2263,0.0717,0.0000,0.2838,nan
20.968000,1.0000,NOMINAL,0.0774,0.2131,-0.0001,-0.0726,0.2312,0.0717,0.0000,0.2838,nan
20.972000,1.0000,NOMINAL,0.0774,0.2131,-0.0001,-0.0746,0.2336,0.0717,0.0000,0.2838,nan
20.976000,1.0000,NOMINAL,0.0774,0.2131,-0.0001,-0.0765,0.2360,0.0717,0.0000,0.2838,nan
20.980000,1.0000,NOMINAL,0.0774,0.2131,-0.0001,-0.0785,0.2385,0.0816,0.0000,0.2959,nan
20.988000,1.0000,NOMINAL,0.0774,0.2131,-0.0001,-0.0826,0.2433,0.0816,0.0000,0.2959,nan
20.992000,1.0000,NOMINAL,0.0774,0.2131,-0.0001,-0.0847,0.2458,0.0816,0.0000,0.2959,nan
20.996000,1.0000,NOMINAL,0.0774,0.2131,-0.0001,-0.0868,0.2482,0.0816,0.0000,0.2959,nan
21.000000,1.0000,NOMINAL,0.0774,0.2131,-0.0001,-0.0890,0.2506,0.0924,0.0000,0.3081,nan
21.008000,1.0000,NOMINAL,0.4818,1.3263,0.0147,-0.1073,0.2539,0.0924,0.0000,0.3081,nan
21.012000,0.0994,DEGRADED,0.4818,1.3263,0.0148,-0.1096,0.2563,0.0924,0.0000,0.3081,nan
21.016000,0.0994,DEGRADED,0.4818,1.3263,0.0148,-0.1120,0.2588,0.0924,0.0000,0.3081,nan
21.020000,0.0994,DEGRADED,0.4818,1.3263,0.0149,-0.1143,0.2612,0.1039,0.0000,0.3203,nan
21.028000,0.0994,DEGRADED,0.4818,1.3263,0.0151,-0.1191,0.2661,0.1039,0.0000,0.3203,nan
21.032000,0.0994,DEGRADED,0.4818,1.3263,0.0152,-0.1216,0.2686,0.1039,0.0000,0.3203,nan
21.036000,0.0994,DEGRADED,0.4818,1.3263,0.0152,-0.1241,0.2710,0.1039,0.0000,0.3203,nan
21.040000,0.0994,DEGRADED,0.4818,1.3263,0.0153,-0.1266,0.2735,0.1163,0.0000,0.3326,nan
21.048000,0.0994,DEGRADED,0.4818,1.3263,0.0162,-0.1326,0.2785,0.1163,0.0000,0.3326,nan
21.052000,0.4000,DEGRADED,0.1431,0.3938,0.0163,-0.1352,0.2809,0.1163,0.0000,0.3326,nan
21.056000,0.4000,DEGRADED,0.1431,0.3938,0.0164,-0.1378,0.2834,0.1163,0.0000,0.3326,nan
21.060000,0.4000,DEGRADED,0.1431,0.3938,0.0165,-0.1405,0.2859,0.1295,0.0001,0.3449,nan
21.068000,0.4000,DEGRADED,0.1431,0.3938,0.0166,-0.1460,0.2908,0.1295,0.0001,0.3449,nan
21.072000,0.4000,DEGRADED,0.1431,0.3938,0.0167,-0.1488,0.2932,0.1295,0.0001,0.3449,nan
21.076000,0.4000,DEGRADED,0.1431,0.3938,0.0168,-0.1516,0.2957,0.1295,0.0001,0.3449,nan
21.080000,0.4000,DEGRADED,0.1431,0.3938,0.0169,-0.1544,0.2981,0.1435,0.0001,0.3571,nan
21.088000,0.4000,DEGRADED,0.1431,0.3938,0.0170,-0.1602,0.3029,0.1435,0.0001,0.3571,nan
21.092000,0.4000,DEGRADED,0.1431,0.3938,0.0171,-0.1632,0.3053,0.1435,0.0001,0.3571,nan
21.096000,0.4000,DEGRADED,0.1431,0.3938,0.0172,-0.1661,0.3077,0.1435,0.0001,0.3571,nan
21.100000,0.4000,DEGRADED,0.1435,0.3951,0.0173,-0.1691,0.3101,0.1583,0.0001,0.3690,nan
21.108000,0.4000,DEGRADED,0.1435,0.3951,0.0168,-0.1757,0.3149,0.1583,0.0001,0.3690,nan
21.112000,0.4000,DEGRADED,0.1435,0.3951,0.0169,-0.1788,0.3173,0.1583,0.0001,0.3690,nan
21.116000,0.4000,DEGRADED,0.1435,0.3951,0.0169,-0.1819,0.3196,0.1583,0.0001,0.3690,nan
21.120000,0.4000,DEGRADED,0.1435,0.3951,0.0170,-0.1851,0.3219,0.1738,0.0001,0.3806,nan
21.128000,0.4000,DEGRADED,0.1435,0.3951,0.0172,-0.1914,0.3264,0.1738,0.0001,0.3806,nan
21.132000,0.4000,DEGRADED,0.1435,0.3951,0.0173,-0.1947,0.3286,0.1738,0.0001,0.3806,nan
21.136000,0.4000,DEGRADED,0.1435,0.3951,0.0174,-0.1979,0.3308,0.1738,0.0001,0.3806,nan
21.140000,0.4000,DEGRADED,0.1435,0.3951,0.0160,-0.2013,0.3329,0.1901,0.0001,0.3917,nan
21.148000,0.4000,DEGRADED,0.1402,0.3859,0.0161,-0.2080,0.3373,0.1901,0.0001,0.3917,nan
21.152000,0.4000,DEGRADED,0.1402,0.3859,0.0162,-0.2114,0.3394,0.1901,0.0001,0.3917,nan
21.156000,0.4000,DEGRADED,0.1402,0.3859,0.0163,-0.2148,0.3416,0.1901,0.0001,0.3917,nan
21.160000,0.4000,DEGRADED,0.1402,0.3859,0.0164,-0.2182,0.3437,0.2071,0.0001,0.4023,nan
21.168000,0.4000,DEGRADED,0.1402,0.3859,0.0165,-0.2251,0.3478,0.2071,0.0001,0.4023,nan
21.172000,0.4000,DEGRADED,0.1402,0.3859,0.0166,-0.2287,0.3499,0.2071,0.0001,0.4023,nan
21.176000,0.4000,DEGRADED,0.1402,0.3859,0.0167,-0.2322,0.3519,0.2071,0.0001,0.4023,nan
21.180000,0.4000,DEGRADED,0.1402,0.3859,0.0167,-0.2358,0.3540,0.2247,0.0001,0.4126,nan
21.188000,0.4000,DEGRADED,0.1402,0.3859,0.0169,-0.2430,0.3580,0.2247,0.0001,0.4126,nan
21.192000,0.4000,DEGRADED,0.1402,0.3859,0.0170,-0.2466,0.3599,0.2247,0.0001,0.4126,nan
21.196000,0.4000,DEGRADED,0.1422,0.3913,0.0171,-0.2503,0.3619,0.2247,0.0001,0.4126,nan
21.200000,0.4000,DEGRADED,0.1422,0.3913,0.0171,-0.2540,0.3638,0.2431,0.0002,0.4223,nan
21.208000,0.4000,DEGRADED,0.1422,0.3913,0.0143,-0.2615,0.3673,0.2431,0.0002,0.4223,nan
21.212000,0.4000,DEGRADED,0.1422,0.3913,0.0144,-0.2653,0.3692,0.2431,0.0002,0.4223,nan
21.216000,0.4000,DEGRADED,0.1422,0.3913,0.0144,-0.2691,0.3711,0.2431,0.0002,0.4223,nan
21.220000,0.4000,DEGRADED,0.1422,0.3913,0.0145,-0.2729,0.3729,0.2621,0.0002,0.4317,nan
21.228000,0.4000,DEGRADED,0.1422,0.3913,0.0146,-0.2807,0.3766,0.2621,0.0002,0.4317,nan
21.232000,0.4000,DEGRADED,0.1422,0.3913,0.0147,-0.2846,0.3784,0.2621,0.0002,0.4317,nan
21.236000,0.4000,DEGRADED,0.1422,0.3913,0.0148,-0.2885,0.3802,0.2621,0.0002,0.4317,nan
21.240000,0.4000,DEGRADED,0.1422,0.3913,0.0115,-0.2931,0.3804,0.2818,0.0002,0.4407,nan
21.248000,0.4000,DEGRADED,0.1367,0.3763,0.0116,-0.3011,0.3839,0.2818,0.0002,0.4407,nan
21.252000,0.4050,DEGRADED,0.1367,0.3763,0.0117,-0.3051,0.3856,0.2818,0.0002,0.4407,nan
21.256000,0.4050,DEGRADED,0.1367,0.3763,0.0117,-0.3092,0.3873,0.2818,0.0002,0.4407,nan
21.260000,0.4050,DEGRADED,0.1367,0.3763,0.0118,-0.3133,0.3890,0.3021,0.0002,0.4493,nan
21.268000,0.4050,DEGRADED,0.1367,0.3763,0.0119,-0.3215,0.3924,0.3021,0.0002,0.4493,nan
21.272000,0.4050,DEGRADED,0.1367,0.3763,0.0120,-0.3257,0.3940,0.3021,0.0002,0.4493,nan
21.276000,0.4050,DEGRADED,0.1367,0.3763,0.0120,-0.3299,0.3957,0.3021,0.0002,0.4493,nan
21.280000,0.4050,DEGRADED,0.1367,0.3763,0.0121,-0.3341,0.3973,0.3231,0.0003,0.4576,nan
21.288000,0.4050,DEGRADED,0.1367,0.3763,0.0122,-0.3426,0.4005,0.3231,0.0003,0.4576,nan
21.292000,0.4050,DEGRADED,0.1367,0.3763,0.0123,-0.3469,0.4021,0.3231,0.0003,0.4576,nan
21.296000,0.4050,DEGRADED,0.1367,0.3763,0.0123,-0.3512,0.4037,0.3231,0.0003,0.4576,nan
21.300000,0.4050,DEGRADED,0.1383,0.3807,0.0124,-0.3555,0.4053,0.3446,0.0003,0.4656,nan
21.308000,0.4050,DEGRADED,0.1383,0.3807,0.0110,-0.3643,0.4063,0.3446,0.0003,0.4656,nan
21.312000,0.4050,DEGRADED,0.1383,0.3807,0.0110,-0.3687,0.4079,0.3446,0.0003,0.4656,nan
21.316000,0.4050,DEGRADED,0.1383,0.3807,0.0111,-0.3731,0.4094,0.3446,0.0003,0.4656,nan
21.320000,0.4050,DEGRADED,0.1383,0.3807,0.0111,-0.3775,0.4109,0.3666,0.0003,0.4732,nan
21.328000,0.4050,DEGRADED,0.1383,0.3807,0.0113,-0.3864,0.4138,0.3666,0.0003,0.4732,nan
21.332000,0.4050,DEGRADED,0.1383,0.3807,0.0113,-0.3909,0.4153,0.3666,0.0003,0.4732,nan
21.336000,0.4050,DEGRADED,0.1383,0.3807,0.0114,-0.3954,0.4167,0.3666,0.0003,0.4732,nan
21.340000,0.4050,DEGRADED,0.1383,0.3807,0.0114,-0.3999,0.4182,0.3892,0.0004,0.4806,nan
21.348000,0.4050,DEGRADED,0.1376,0.3786,0.0115,-0.4090,0.4210,0.3892,0.0004,0.4806,nan
21.352000,0.4050,INERTIAL,0.1376,0.3786,0.0100,-0.4138,0.4202,0.3892,0.0004,0.4806,nan
21.356000,0.4050,INERTIAL,0.1376,0.3786,0.0101,-0.4184,0.4216,0.3892,0.0004,0.4806,nan
21.360000,0.4050,INERTIAL,0.1376,0.3786,0.0101,-0.4230,0.4229,0.3892,0.0004,0.4806,nan
21.368000,0.4050,INERTIAL,0.1376,0.3786,0.0103,-0.4323,0.4257,0.4124,0.0004,0.4877,nan
21.372000,0.4050,INERTIAL,0.1376,0.3786,0.0103,-0.4370,0.4270,0.4124,0.0004,0.4877,nan
21.376000,0.4050,INERTIAL,0.1376,0.3786,0.0104,-0.4417,0.4284,0.4124,0.0004,0.4877,nan
21.380000,0.4050,INERTIAL,0.1376,0.3786,0.0104,-0.4464,0.4297,0.4359,0.0004,0.4946,nan
21.388000,0.4050,INERTIAL,0.1376,0.3786,0.0106,-0.4558,0.4323,0.4359,0.0004,0.4946,nan
21.392000,0.4050,INERTIAL,0.1376,0.3786,0.0106,-0.4606,0.4336,0.4359,0.0004,0.4946,nan
21.396000,0.4050,INERTIAL,0.1376,0.3786,0.0047,-0.4657,0.4352,0.4359,0.0004,0.4946,nan
21.400000,0.4100,INERTIAL,0.1282,0.3528,0.0047,-0.4705,0.4365,0.4599,0.0005,0.5013,nan
21.408000,0.4100,INERTIAL,0.1282,0.3528,0.0048,-0.4802,0.4391,0.4599,0.0005,0.5013,nan
21.412000,0.4100,INERTIAL,0.1282,0.3528,0.0048,-0.4850,0.4403,0.4599,0.0005,0.5013,nan
