[INFO] [1781091344.294478262] [degradation_manager]: A.E.T.H.E.R degradation_manager up.
[WARN] [1781091344.442310598] [degradation_manager]: NAV MODE -> NOMINAL  (trust=1.00, HPL=0.08 m, outage=0.10 s)
[WARN] [1781091362.291919091] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.40, HPL=0.46 m, outage=17.95 s)
[WARN] [1781091362.341475219] [degradation_manager]: NAV MODE -> NOMINAL  (trust=0.78, HPL=0.14 m, outage=0.03 s)
[WARN] [1781091362.792476365] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.30, HPL=0.13 m, outage=0.03 s)
[WARN] [1781091398.491449639] [degradation_manager]: NAV MODE -> NOMINAL  (trust=0.68, HPL=2.43 m, outage=0.03 s)
[WARN] [1781091405.141492161] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.62, HPL=2.88 m, outage=0.08 s)
[WARN] [1781091406.741688339] [degradation_manager]: NAV MODE -> NOMINAL  (trust=0.68, HPL=2.99 m, outage=0.01 s)
[WARN] [1781091408.541528063] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.62, HPL=3.11 m, outage=0.08 s)
[WARN] [1781091409.191696911] [degradation_manager]: NAV MODE -> NOMINAL  (trust=0.66, HPL=3.16 m, outage=0.03 s)
[WARN] [1781091410.941414244] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.60, HPL=3.28 m, outage=0.08 s)
[WARN] [1781091411.191562657] [degradation_manager]: NAV MODE -> NOMINAL  (trust=0.78, HPL=3.29 m, outage=0.02 s)
[WARN] [1781091414.791573937] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.62, HPL=3.54 m, outage=0.06 s)
[WARN] [1781091415.241415314] [degradation_manager]: NAV MODE -> NOMINAL  (trust=0.68, HPL=3.57 m, outage=0.03 s)
[WARN] [1781091418.791628953] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.62, HPL=3.81 m, outage=0.07 s)
[WARN] [1781091419.041790862] [degradation_manager]: NAV MODE -> NOMINAL  (trust=0.66, HPL=3.83 m, outage=0.01 s)
[WARN] [1781091420.091484416] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.56, HPL=3.90 m, outage=0.08 s)
[WARN] [1781091420.491603979] [degradation_manager]: NAV MODE -> NOMINAL  (trust=0.66, HPL=3.93 m, outage=0.00 s)
[WARN] [1781091421.541540523] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.62, HPL=4.00 m, outage=0.07 s)
[WARN] [1781091421.991687728] [degradation_manager]: NAV MODE -> NOMINAL  (trust=0.70, HPL=4.03 m, outage=0.01 s)
[WARN] [1781091423.041452315] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.54, HPL=4.10 m, outage=0.08 s)
[WARN] [1781091423.491726005] [degradation_manager]: NAV MODE -> NOMINAL  (trust=0.64, HPL=4.13 m, outage=0.01 s)
[WARN] [1781091430.241763202] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.60, HPL=4.59 m, outage=0.12 s)
[WARN] [1781091430.791488441] [degradation_manager]: NAV MODE -> NOMINAL  (trust=0.66, HPL=4.63 m, outage=0.01 s)
[WARN] [1781091431.841816714] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.62, HPL=4.70 m, outage=0.07 s)
[WARN] [1781091432.841983382] [degradation_manager]: NAV MODE -> NOMINAL  (trust=0.82, HPL=4.77 m, outage=0.01 s)
[WARN] [1781091433.892001599] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.54, HPL=4.84 m, outage=0.08 s)
[WARN] [1781091435.192907125] [degradation_manager]: NAV MODE -> NOMINAL  (trust=0.65, HPL=4.93 m, outage=0.01 s)
[WARN] [1781091439.791653100] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.57, HPL=5.24 m, outage=0.06 s)
[WARN] [1781091440.092135035] [degradation_manager]: NAV MODE -> NOMINAL  (trust=0.66, HPL=5.26 m, outage=0.02 s)
[WARN] [1781091442.591602091] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.48, HPL=5.43 m, outage=0.07 s)
[WARN] [1781091443.141770369] [degradation_manager]: NAV MODE -> NOMINAL  (trust=0.56, HPL=5.47 m, outage=0.01 s)
[WARN] [1781091444.191969342] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.53, HPL=5.54 m, outage=0.08 s)
[WARN] [1781091444.941921958] [degradation_manager]: NAV MODE -> NOMINAL  (trust=0.58, HPL=5.59 m, outage=0.01 s)
[WARN] [1781091445.991851355] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.42, HPL=5.66 m, outage=0.08 s)
[WARN] [1781091459.192134594] [degradation_manager]: NAV MODE -> INERTIAL  (trust=0.26, HPL=6.57 m, outage=13.28 s)
[WARN] [1781091461.041506371] [degradation_manager]: NAV MODE -> RE_ACQUIRE  (trust=0.41, HPL=6.70 m, outage=15.13 s)
[WARN] [1781091461.991544544] [degradation_manager]: NAV MODE -> NOMINAL  (trust=0.53, HPL=6.76 m, outage=0.01 s)
