t,est_x,est_y,est_z,gt_x,gt_y,gt_z,herr,hpl_op,hpl_dalc,ellipse_yaw,trust,state,nees,sep,latency,fault
1781044831.4886,9.9212,0.5528,1.1985,9.9758,0.4791,1.2000,0.0917,0.1469,0.4042,1.570796,0.9750,NOMINAL,2.3376,0.1677,nan,0
1781044831.5387,10.1176,0.5072,1.1835,10.0513,0.4730,1.2000,0.0746,0.1469,0.4042,1.570796,1.0000,NOMINAL,1.7175,0.1177,nan,0
1781044831.5885,10.1801,0.4333,1.1651,10.1261,0.4668,1.2000,0.0635,0.1469,0.4042,1.570796,1.0000,NOMINAL,1.8781,0.0561,nan,0
1781044831.6384,10.2799,0.5075,1.1527,10.2008,0.4604,1.2000,0.0921,0.1469,0.4042,1.570796,0.8950,NOMINAL,3.7555,0.1323,nan,0
1781044831.6890,10.3316,0.3921,1.2280,10.2759,0.4539,1.2000,0.0833,0.1469,0.4042,1.570796,1.0000,NOMINAL,2.4184,0.0385,nan,0
1781044831.7386,10.3877,0.4514,1.1828,10.3513,0.4473,1.2000,0.0366,0.1469,0.4042,1.570796,0.9650,NOMINAL,0.5582,0.0810,nan,0
1781044831.7887,10.4145,0.4517,1.1787,10.4259,0.4406,1.2000,0.0159,0.1469,0.4042,1.570796,0.9650,NOMINAL,0.3540,0.0927,nan,0
1781044831.8383,10.5136,0.4528,1.2091,10.5009,0.4338,1.2000,0.0228,0.1469,0.4042,1.570796,0.9950,NOMINAL,0.1970,0.0988,nan,0
1781044831.8883,10.6339,0.3844,1.1775,10.5756,0.4268,1.2000,0.0720,0.1469,0.4042,1.570796,0.9750,NOMINAL,1.7583,0.0476,nan,0
1781044831.9384,10.7094,0.4169,1.2018,10.6512,0.4197,1.2000,0.0584,0.1469,0.4042,1.570796,0.9750,NOMINAL,0.9478,0.0754,nan,0
1781044831.9885,10.8085,0.4196,1.1540,10.7258,0.4125,1.2000,0.0831,0.1469,0.4042,1.570796,0.9900,NOMINAL,3.2409,0.0994,nan,0
1781044832.0384,10.6749,0.4313,1.2674,10.8007,0.4052,1.2000,0.1285,0.1469,0.4042,1.570796,0.9400,NOMINAL,7.4301,0.1962,nan,0
1781044832.0885,10.7846,0.3169,1.1803,10.8755,0.3978,1.2000,0.1217,0.1469,0.4042,1.570796,0.9400,NOMINAL,4.3541,0.1199,nan,0
1781044832.1384,10.9607,0.3444,1.2282,10.9510,0.3902,1.2000,0.0468,0.1469,0.4042,1.570796,0.9800,NOMINAL,1.1059,0.0452,nan,0
1781044832.1884,11.0263,0.4055,1.2352,11.0260,0.3826,1.2000,0.0229,0.1469,0.4042,1.570796,1.0000,NOMINAL,0.9214,0.1007,nan,0
1781044832.2383,11.1012,0.4311,1.1703,11.1009,0.3748,1.2000,0.0563,0.1469,0.4042,1.570796,0.9850,NOMINAL,1.4334,0.1389,nan,0
1781044832.2883,11.1055,0.3478,1.2058,11.1758,0.3670,1.2000,0.0729,0.1469,0.4042,1.570796,1.0000,NOMINAL,1.4968,0.1168,nan,0
